epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2773.97,0.74592,1.34272,0.61623,1.00753,0.8113,0.74249,0.77251,0.58825,0.7181,0.67871,0.64599,0.21131,0.9316,1.18917,0.88917,1.03111,0.0002774,0.0002774,0.0002774
89,2805.24,0.753,1.32799,0.61495,1.00951,0.79362,0.76305,0.78045,0.59634,0.73392,0.66466,0.651,0.21134,0.92874,1.17381,0.89371,1.03444,0.0002576,0.0002576,0.0002576
90,2836.35,0.73616,1.32475,0.59387,1.00148,0.78809,0.75502,0.77044,0.58889,0.70387,0.67776,0.63838,0.21053,0.91703,1.18205,0.87774,1.03057,0.0002378,0.0002378,0.0002378
91,2868.7,0.66641,1.00946,0.6236,1.07134,0.77293,0.77108,0.76004,0.57867,0.70055,0.69527,0.6507,0.21538,0.9185,1.1966,0.88085,1.03025,0.000218,0.000218,0.000218
92,2899.61,0.64979,1.00443,0.60122,1.0593,0.83447,0.71084,0.75576,0.5816,0.69421,0.67068,0.63061,0.21061,0.89112,1.20163,0.87971,0.983,0.0001982,0.0001982,0.0001982
93,2930.75,0.64461,0.99468,0.58315,1.0568,0.81825,0.72324,0.74488,0.57153,0.72887,0.64778,0.6197,0.2031,0.8977,1.18459,0.87732,1.01024,0.0001784,0.0001784,0.0001784
94,2961.71,0.63385,0.98335,0.57948,1.04146,0.75167,0.7751,0.74656,0.57395,0.69523,0.67792,0.62351,0.20913,0.90593,1.1859,0.89374,1.01672,0.0001586,0.0001586,0.0001586
95,2992.63,0.633,0.9873,0.57177,1.05095,0.78652,0.74699,0.75015,0.58107,0.67734,0.68288,0.6127,0.20874,0.88773,1.184,0.88109,0.99952,0.0001388,0.0001388,0.0001388
96,3023.53,0.62389,0.9809,0.57033,1.04495,0.81342,0.73536,0.75743,0.58917,0.72269,0.67068,0.62882,0.21365,0.88666,1.18807,0.8455,1.00056,0.000119,0.000119,0.000119
97,3054.46,0.61473,0.97832,0.55057,1.03594,0.77429,0.75904,0.75976,0.58765,0.71172,0.68413,0.62215,0.21227,0.90011,1.18307,0.87096,1.01038,9.92e-05,9.92e-05,9.92e-05
98,3085.55,0.62211,0.98531,0.55134,1.04446,0.76774,0.76305,0.75748,0.5923,0.69373,0.69134,0.63261,0.21412,0.88681,1.19243,0.85786,0.99853,7.94e-05,7.94e-05,7.94e-05
99,3116.5,0.61119,0.97707,0.55578,1.04287,0.78003,0.74054,0.75523,0.58434,0.7209,0.64659,0.61468,0.21149,0.8843,1.18715,0.86608,0.99424,5.96e-05,5.96e-05,5.96e-05
100,3147.45,0.61034,0.97485,0.54111,1.03888,0.80204,0.73092,0.759,0.59409,0.69021,0.68003,0.61955,0.21062,0.86445,1.18601,0.86841,0.98192,3.98e-05,3.98e-05,3.98e-05
